Name, RA, DE, Redshift, Vlsr, DistMpc, Re, R50, incl, PA, logMstar, logSFR, logOH, AGN
NGC2596, 126.86026726, 17.28399658, 0.01976603, 5929.80900000, 86.03844159, 11.65428000, 8.62816437, 71.78397843, -28.57330444, 10.82144333, 0.64800354, 8.5786076, 0.00000000
NGC3300, 159.16011930, 14.17114665, 0.01003774, 3011.32200000, 43.36214850, 13.30560000, 3.02538443, 61.14488713, 82.02744648, 10.60080854, -2.32880810, NaN, 0.00000000
NGC4003, 179.49596220, 23.12492695, 0.02183568, 6550.70400000, 95.19970582, 9.41292000, 5.21588839, 62.24592944, 59.81780288, 10.99156636, 0.26424961, 8.5566581, 0.00000000
NGC4816, 194.05055728, 27.74553141, 0.02310601, 6931.80300000, 100.83699686, 20.35836000, 9.16241387, 39.16282675, -10.67045666, 11.10847092, -1.61663869, NaN, 0.00000000
NGC4841A, 194.38316376, 28.47706094, 0.02254247, 6762.74100000, 98.33486675, 13.67784000, 7.84335091, 30.17489487, 19.06285020, 11.21803401, -1.36818982, NaN, 0.00000000
NGC5928, 231.51193998, 18.07371847, 0.01484501, 4453.50300000, 64.37109638, 12.63636000, 3.69050054, 47.35108086, 10.96440398, 10.93724172, -1.76792745, NaN, 0.00000000
NGC5954, 233.64552212, 15.20018169, 0.00641132, 1923.39600000, 27.61728822, 14.69952000, 2.71342565, 59.52851784, -65.13449750, 10.06837529, 0.22003529, 8.5299217, 0.00000000
NGC5957, 233.84676010, 12.04765475, 0.00598429, 1795.28700000, 25.76912183, 22.98780000, 3.56198176, 47.45795121, 1.57605970, 10.13201714, -0.59185322, 8.5717664, 0.00000000
NGC6020, 239.28386927, 22.40463505, 0.01437121, 4311.36300000, 62.29354503, 11.59092000, 2.77805011, 41.06902964, 47.93936292, 10.90346320, -1.90366013, NaN, 0.00000000
NGC6132, 245.91174335, 11.78720940, 0.01663352, 4990.05600000, 72.22710601, 11.88792000, 5.64924906, 70.56198456, 36.38072780, 10.41729187, 0.27855771, 8.5222952, 0.00000000
NGC6427, 265.91076140, 25.49393604, 0.01080588, 3241.76400000, 46.70862551, 8.87832000, 3.07088463, 71.06300609, -54.72575799, 10.75017055, -1.98090897, NaN, 0.00000000
NGC6941, 309.09751340, -4.61867393, 0.02062125, 6186.37500000, 89.82057677, 15.04008000, 8.82785731, 41.29444924, 35.89711001, 11.08203379, 0.39772282, 8.5590192, 0.00000000
NGC6977, 313.12383062, -5.74605942, 0.02036665, 6109.99500000, 88.69411821, 35.51724000, 7.63300659, 47.58116254, 26.17434702, 10.99133327, 0.10970804, 8.5705133, 0.00000000
NGC7025, 316.94728732, 16.33575134, 0.01642648, 4927.94400000, 71.31658327, 18.19620000, 7.63189017, 50.06912333, -36.57054901, 11.27861179, -0.39295283, NaN, 0.00000000
NGC7194, 330.87882637, 12.63679889, 0.02701100, 8103.30000000, 118.23349020, 11.95524000, 5.31287974, 57.63949148, -61.80532510, 11.35396653, -1.18215962, NaN, 0.00000000
NGC7311, 338.52799439, 5.57033173, 0.01494528, 4483.58400000, 64.81096124, 10.60488000, 3.61775425, 62.41980281, -78.56052568, 11.18984434, 0.51274315, 8.5726312, 0.00000000
NGC7321, 339.11741257, 21.62248472, 0.02364201, 7092.60300000, 103.21881834, 12.04236000, 8.93470519, 53.59259311, -55.97714140, 11.14754947, 0.77481721, 8.5923763, 0.00000000
