# %ECSV 0.9
# ---
# datatype:
# - {name: target, datatype: string}
# - {name: dist, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
target,dist
NGC5928,63.51373907028571
NGC5951,25.279306813142856
NGC5953,28.442926378285716
NGC5954,27.430557849142858
NGC5957,25.60352829542857
NGC5980,58.129685817142864
NGC6004,54.38406772685714
NGC6020,61.48660607600001
NGC6021,67.94262676628571
NGC6023,158.43272267542858
NGC6027,62.34700380742857
NGC6032,61.26742071657142
NGC6060,61.94290353028572
NGC6063,40.154988884000005
NGC6081,71.69213825257143
NGC6086,136.18264908857142
NGC6132,71.16580245485714
NGC6168,36.03333719542857
NGC6186,41.979194656
NGC6261,148.8221955337143
NGC6264,144.9677334937143
NGC6278,40.30396476171429
NGC6314,93.71588145657144
NGC6427,46.23249447085714
NGC6941,88.22713435714286
NGC6945,53.25014823028571
NGC6962,59.31704324342857
NGC6977,87.13783916857142
NGC6978,84.77955359142857
NGC7025,70.279990688
NGC7047,82.1656302
NGC 7052,66.20925263942858
NGC7194,115.56540588571428
NGC7236,111.96884924228571
NGC7253,66.90326117257143
NGC7311,63.942739968
NGC7321,101.151326556
NGC7364,68.65400583542858
NGC7436B,105.08874787999999
NGC7461,59.008694837142855
NGC7466,106.32453744114287
NGC7489,88.20172032171429
NGC7503,188.57004643599998
NGC7536,66.68056747828571
NGC7549,65.98613109942858
NGC7550,71.938277892
NGC7559B,64.72856419142856
NGC7562,50.915950366857146
NGC7563,61.30973465771428
NGC7591,69.867290712
NGC7608,48.93617989314286
NGC7611,46.26145962571429
NGC7619,53.49141042857143
NGC7623,52.429967995999995
NGC7625,22.405338796571428
NGC7631,52.719662329142864
NGC7653,59.70039300342857
NGC7671,54.421589796
NGC7683,52.27401823314286
NGC7684,73.939483436
NGC7711,57.29512996685715
NGC7716,36.418868968571424
NGC7722,56.552175884
NGC7738,95.75995714114286
NGC7768,115.45733205828573
NGC7782,76.30696769599999
NGC7783NED01,111.59863434571427
NGC7787,94.55095072171429
NGC7800,24.797210262285713
NGC7803,75.3784141422857
NGC7824,86.97294743028571
PGC042068,25.188132891428573
PGC010254,134.93184214285716
PGC10738,146.90959683714286
PGC11179,96.43244503485714
PGC1481751,139.10479253257145
PGC213672,131.2189542497143
PGC037426,90.60236262457143
PGC1670659,143.65856839257142
NGC5837,123.39194475257143
SDSSJ015424,88.70974432285713
M87,17.933880452
UGC11064,100.14066940971429
UGC03770,6.501500689714285
MCG+04-42-22,65.56132308971428
PGC068560,118.36364521085714
NGC3655,20.419877974857144
NGC693,63.02214434457142
UGC40,106.712593504
NGC0799,82.53109600914286
NGC0958,81.33659355942858
NGC4059,101.89915808
UGC04414,107.31970657257143
UGC06609,110.489187624
UGC11758,122.837542276
UGC02650,119.88720379942858
